n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
14.92,101.98,3.2,11.92,18.0,14.92,17.14,5.86,4.21,0.0,0.52,7.4,9.36,0.0,0.52,21.89,79.57,0.0,0.52,8.51,8.11,0.0
9.73,89.39,1.86,7.44,10.0,13.27,9.28,4.25,8.28,0.0,0.48,1.58,8.96,0.0,0.48,2.66,86.25,0.0,0.48,1.35,7.45,0.0
14.71,91.8,4.59,11.71,10.0,17.3,18.99,10.54,7.95,3.65,0.0,6.17,6.89,4.65,0.0,51.97,35.18,1.65,0.0,7.9,9.44,0.0
13.13,56.99,1.35,10.77,5.0,14.71,11.35,6.33,24.73,0.71,0.0,12.42,0.0,0.71,0.0,56.28,0.0,0.71,0.0,10.64,0.0,0.0
31.99,94.39,12.04,22.2,5.0,33.11,27.7,24.89,77.67,10.57,0.91,13.76,12.39,25.15,1.82,45.95,21.47,5.0,0.91,16.51,5.28,0.0
85.89,623.61,32.08,72.14,5.0,85.89,69.21,82.86,12.87,20.16,0.09,37.9,36.49,70.77,0.18,475.54,77.12,13.76,0.09,42.52,12.84,0.0
15.87,49.44,5.46,13.27,7.5,15.9,18.29,10.84,5.15,8.79,0.0,3.5,4.57,15.67,0.0,15.36,18.41,6.86,0.0,7.62,3.81,0.0
8.91,26.95,1.92,6.74,4.8000000000000105,10.21,12.07,4.85,17.53,2.01,0.0,5.17,2.19,6.05,0.0,17.62,3.28,2.02,0.0,8.2,1.85,0.0
21.41,46.19,8.03,19.0,8.700000000000012,22.89,16.11,16.35,21.94,0.0,1.0,13.36,7.56,0.0,1.0,28.91,16.28,0.0,1.0,10.76,4.35,0.0
27.18,130.95,6.64,23.46,10.5,28.48,14.81,10.77,15.16,0.0,0.0,8.68,18.9,0.0,0.0,12.8,118.15,0.0,0.0,5.43,9.38,0.0
28.95,123.65,4.28,25.98,6.600000000000022,32.87,13.48,9.05,48.59,0.0,0.0,11.53,17.57,0.0,0.0,18.87,104.78,0.0,0.0,4.91,8.57,0.0
72.41,786.66,30.55,66.41,19.70000000000003,72.41,61.57,72.41,0.0,0.0,0.0,34.42,41.7,0.0,0.0,647.15,139.51,0.0,0.0,28.65,32.92,0.0
