genus	mean_paleolat2
Acrochordus	21.92
Adinophis	-29.99
Afrotortrix	24.35
Agkistrodon	37.186
Alamitophis	-43.602
Albaneryx	47.2066666666667
Amananulam	8.9
Amaru	-28.37
Ameiseophis	43.2969230769231
Anilioides	38.815
Anilius	11.27
Anomalophis	37.29
Archaeophis	36.72
Arizona	41.62
Australophis	-41.165
Bavarioboa	45.9672727272727
Bitis	-2.01666666666667
Boa	-11.7825
Boavus	43.0710526315789
Boipeba	-24.19
Borealilysia	45.61
Bothrops	-38.97
Bransateryx	46.7014285714286
Cadurceryx	44.09875
Cadurcoboa	42.885
Calamagras	42.1011111111111
Carphophis	38.24
Cerberophis	54.35
Charina	43.585
Cheilophis	41.2
Chubutophis	-48.26
Colombophis	1.39733333333333
Coluber	43.8642
Conantophis	29.64
Coprophis	44.4
Corallus	-1.30666666666667
Coronella	46.6384375
Crotalus	36.77225
Cyclophiops	32.64
Dakotaophis	41.4085714285714
Daunophis	NA
Dawsonophis	45.78
Diablophis	35.96
Diadophis	36.0475
Dinilysia	-42.0375
Dinodon	NA
Dryinoides	46.38
Drymarchon	27.4255
Dunnophis	43.8596
Elaphe	43.3701904761905
Eoanilius	45.0813043478261
Eoconstrictor	46.39
Eomadtsoia	-45.245
Eophis	41.37
Epicrates	-9.01
Eryx	43.8361290322581
Eunectes	2.058
Eupodophis	12.785
Falseryx	45.9166666666667
Farancia	27.57275
Floridaophis	29.64
Gaimanophis	-37.1775
Geringophis	41.3611111111111
Gigantophis	22.935
Gloydius	37.58
Goinophis	42.5866666666667
Haasiophis	10.73
Headonophis	49.05
Hechtophis	-25.02
Helagras	43.3966666666667
Herensugea	33.36
Heterodon	38.2829032258065
Hibernophis	44.28
Hierophis	47.5383333333333
Hispanophis	40.14
Hordleophis	49.15
Huberophis	32.88
Incongruelaps	-26.68
Indophis	-26.795
Itaboraiophis	-25.02
Kataria	-20.91
Kelyophis	-30.07
Krebsophis	4.15
Lampropeltis	38.8670731707317
Laophis	40.48
Lapparentophis	15.83
Leptodeira	NA
Liasis	-22.51
Lichanura	43.88
Lithophis	45.05
Lunaophis	1.38
Lycodon	35.1066666666667
Macroprotodon	37.375
Madtsoia	-32.56625
Malpolon	40.5136363636364
Masticophis	37.4266666666667
Menarana	-2.84142857142857
Mesophis	24.58
Messelophis	46.89
Messelopython	46.89
Michauxophis	43.51
Micronatrix	43.09
Micrurus	43.988
Miocoluber	36.41
Mionatrix	36.45
Morelia	-29.2030769230769
Naja	37.4526470588235
Najash	-46.75
Nanowana	-29.326
Natrix	46.0925
Nebraskophis	38.6033333333333
Neonatrix	43.525
Nerodia	37.6755319148936
Neurodromicus	41.88
Nidophis	NA
Nigerophis	7.71
Norisophis	18.265
Notechis	-37.745
Nubianophis	4.15
Ogmophis	43.2961904761905
Opheodrys	39.05
Pachyophis	24.58
Pachyrhachis	10.73
Palaeonatrix	47.935
Palaeophis	32.9879661016949
Palaeopython	44.5521052631579
Paleoheterodon	42.5563157894737
Paleryx	48.1457142857143
Pantherophis	36.56
Paracoluber	43.83
Paraoxybelis	30.04
Paraplatyspondylia	49.15
Paraungaliophis	-25.02
Patagoniophis	-43.94
Paulacoutophis	-25.02
Pituophis	38.5689473684211
Platyceps	44.04
Platyspondylia	44.1128571428571
Platyspondylophis	-4.09
Plesiotortrix	43.84
Pollackophis	39.39
Portugalophis	34.02
Powellophis	-25.99
Procerophis	5.57333333333333
Protobothrops	32.64
Pseudechis	-37.79
Pseudocemophora	41.615
Pseudonaja	-37.73
Pterosphenus	25.01125
Pterygoboa	36.36
Python	12.6194594594595
Rageryx	45.99
Regina	35.2431875
Rhabdophis	37.5866666666667
Rhinechis	40.285
Rhinocheilus	36.5825
Rieppelophis	46.89
Rionegrophis	-48.4566666666667
Rottophis	49.355
Rukwanyoka	-11.34
Russellophis	36.646
Salvadora	41.555
Sanajeh	-22.79
Sanjuanophis	41.02
Seismophis	-9.43
Simoliophis	31.8142857142857
Sinomicrurus	NA
Sistrurus	36.908
Stilosoma	30
Storeria	35.29
Szyndlaria	42.75
Tallahattaophis	32.38
Tantilla	30.34
Telescopus	48.38
Texasophis	43.6638095238095
Thamnophis	38.8773684210526
Titanoboa	8.54
Totlandophis	39.395
Tregophis	41.31
Trimeresurus	38.96
Trimorphodon	NA
Tropidoclonion	37.5275
Tropidonotus	52.86
Tropidophis	27.72
Tuscahomaophis	35.07
Typhlops	42.1071428571429
Vasuki	6.58
Vectophis	49.0966666666667
Vipera	44.0168571428571
Vipera (Daboia)	43.5625
Vipera (Macrovipera)	45.7455555555556
Vipera (Pelias)	48.3230434782609
Vipera (Vipera)	47.285
Waincophis	-33.618
Wonambi	-34.78
Woutersophis	47.735
Xenodermus	32.9
Xiaophis	NA
Yurlunggur	-30.3090909090909
Zamenis	47.4985714285714
Zelceophis	52.53
Zilantophis	36.56
